user_id	inter_seq	scene	target	pred_path
1	[305]	3	172	[172]
1	[305]	3	54	[172, 54]
1	[305]	3	314	[172, 54, 314]
1	[305]	3	1	[172, 54, 314, 1]
1	[305]	3	350	[172, 54, 314, 1, 350]
1	[305]	3	352	[172, 54, 314, 1, 350, 352]
1	[305]	3	301	[172, 54, 314, 1, 350, 352, 301]
1	[305]	3	302	[172, 54, 314, 1, 350, 352, 301, 302]
1	[305]	3	310	[172, 54, 314, 1, 350, 352, 301, 302, 310]
1	[305]	3	312	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312]
1	[305]	3	337	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337]
1	[305]	3	319	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319]
1	[305]	3	311	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311]
1	[305]	3	336	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]
1	[305]	3	210	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305]	3	341	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305]	3	343	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305]	3	321	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305]	3	323	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305]	3	300	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305]	3	294	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305]	3	295	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305]	3	35	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305]	3	297	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305]	3	316	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305]	3	346	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305]	3	218	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
1	[305]	3	223	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
1	[305]	3	306	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
1	[305]	3	173	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
1	[305]	3	331	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
1	[305, 172]	3	54	[54]
1	[305, 172]	3	314	[54, 314]
1	[305, 172]	3	1	[54, 314, 1]
1	[305, 172]	3	350	[54, 314, 1, 350]
1	[305, 172]	3	352	[54, 314, 1, 350, 352]
1	[305, 172]	3	301	[54, 314, 1, 350, 352, 301]
1	[305, 172]	3	302	[54, 314, 1, 350, 352, 301, 302]
1	[305, 172]	3	310	[54, 314, 1, 350, 352, 301, 302, 310]
1	[305, 172]	3	312	[54, 314, 1, 350, 352, 301, 302, 310, 312]
1	[305, 172]	3	337	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337]
1	[305, 172]	3	319	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319]
1	[305, 172]	3	311	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311]
1	[305, 172]	3	336	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]
1	[305, 172]	3	210	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305, 172]	3	341	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305, 172]	3	343	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305, 172]	3	321	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305, 172]	3	323	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305, 172]	3	300	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305, 172]	3	294	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305, 172]	3	295	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305, 172]	3	35	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305, 172]	3	297	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305, 172]	3	316	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305, 172]	3	346	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305, 172]	3	218	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
1	[305, 172]	3	223	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
1	[305, 172]	3	306	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
1	[305, 172]	3	173	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
1	[305, 172]	3	331	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
1	[305, 172, 54]	3	314	[314]
1	[305, 172, 54]	3	1	[314, 1]
1	[305, 172, 54]	3	350	[314, 1, 350]
1	[305, 172, 54]	3	352	[314, 1, 350, 352]
1	[305, 172, 54]	3	301	[314, 1, 350, 352, 301]
1	[305, 172, 54]	3	302	[314, 1, 350, 352, 301, 302]
1	[305, 172, 54]	3	310	[314, 1, 350, 352, 301, 302, 310]
1	[305, 172, 54]	3	312	[314, 1, 350, 352, 301, 302, 310, 312]
1	[305, 172, 54]	3	337	[314, 1, 350, 352, 301, 302, 310, 312, 337]
1	[305, 172, 54]	3	319	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319]
1	[305, 172, 54]	3	311	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311]
1	[305, 172, 54]	3	336	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]
1	[305, 172, 54]	3	210	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305, 172, 54]	3	341	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305, 172, 54]	3	343	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305, 172, 54]	3	321	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305, 172, 54]	3	323	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305, 172, 54]	3	300	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305, 172, 54]	3	294	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305, 172, 54]	3	295	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305, 172, 54]	3	35	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305, 172, 54]	3	297	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305, 172, 54]	3	316	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305, 172, 54]	3	346	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305, 172, 54]	3	218	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
1	[305, 172, 54]	3	223	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
1	[305, 172, 54]	3	306	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
1	[305, 172, 54]	3	173	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
1	[305, 172, 54]	3	331	[314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
1	[305, 172, 54, 314]	3	1	[1]
1	[305, 172, 54, 314]	3	350	[1, 350]
1	[305, 172, 54, 314]	3	352	[1, 350, 352]
1	[305, 172, 54, 314]	3	301	[1, 350, 352, 301]
1	[305, 172, 54, 314]	3	302	[1, 350, 352, 301, 302]
1	[305, 172, 54, 314]	3	310	[1, 350, 352, 301, 302, 310]
1	[305, 172, 54, 314]	3	312	[1, 350, 352, 301, 302, 310, 312]
1	[305, 172, 54, 314]	3	337	[1, 350, 352, 301, 302, 310, 312, 337]
1	[305, 172, 54, 314]	3	319	[1, 350, 352, 301, 302, 310, 312, 337, 319]
1	[305, 172, 54, 314]	3	311	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311]
1	[305, 172, 54, 314]	3	336	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]
1	[305, 172, 54, 314]	3	210	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305, 172, 54, 314]	3	341	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305, 172, 54, 314]	3	343	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305, 172, 54, 314]	3	321	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305, 172, 54, 314]	3	323	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305, 172, 54, 314]	3	300	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305, 172, 54, 314]	3	294	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305, 172, 54, 314]	3	295	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305, 172, 54, 314]	3	35	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305, 172, 54, 314]	3	297	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305, 172, 54, 314]	3	316	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305, 172, 54, 314]	3	346	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305, 172, 54, 314]	3	218	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
1	[305, 172, 54, 314]	3	223	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
1	[305, 172, 54, 314]	3	306	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
1	[305, 172, 54, 314]	3	173	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
1	[305, 172, 54, 314]	3	331	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
1	[305, 172, 54, 314, 1]	3	350	[350]
1	[305, 172, 54, 314, 1]	3	352	[350, 352]
1	[305, 172, 54, 314, 1]	3	301	[350, 352, 301]
1	[305, 172, 54, 314, 1]	3	302	[350, 352, 301, 302]
1	[305, 172, 54, 314, 1]	3	310	[350, 352, 301, 302, 310]
1	[305, 172, 54, 314, 1]	3	312	[350, 352, 301, 302, 310, 312]
1	[305, 172, 54, 314, 1]	3	337	[350, 352, 301, 302, 310, 312, 337]
1	[305, 172, 54, 314, 1]	3	319	[350, 352, 301, 302, 310, 312, 337, 319]
1	[305, 172, 54, 314, 1]	3	311	[350, 352, 301, 302, 310, 312, 337, 319, 311]
1	[305, 172, 54, 314, 1]	3	336	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336]
1	[305, 172, 54, 314, 1]	3	210	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305, 172, 54, 314, 1]	3	341	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305, 172, 54, 314, 1]	3	343	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305, 172, 54, 314, 1]	3	321	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305, 172, 54, 314, 1]	3	323	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305, 172, 54, 314, 1]	3	300	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305, 172, 54, 314, 1]	3	294	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305, 172, 54, 314, 1]	3	295	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305, 172, 54, 314, 1]	3	35	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305, 172, 54, 314, 1]	3	297	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305, 172, 54, 314, 1]	3	316	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305, 172, 54, 314, 1]	3	346	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305, 172, 54, 314, 1]	3	218	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
1	[305, 172, 54, 314, 1]	3	223	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
1	[305, 172, 54, 314, 1]	3	306	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
1	[305, 172, 54, 314, 1]	3	173	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
1	[305, 172, 54, 314, 1]	3	331	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
1	[305, 172, 54, 314, 1, 350]	3	352	[352]
1	[305, 172, 54, 314, 1, 350]	3	301	[352, 301]
1	[305, 172, 54, 314, 1, 350]	3	302	[352, 301, 302]
1	[305, 172, 54, 314, 1, 350]	3	310	[352, 301, 302, 310]
1	[305, 172, 54, 314, 1, 350]	3	312	[352, 301, 302, 310, 312]
1	[305, 172, 54, 314, 1, 350]	3	337	[352, 301, 302, 310, 312, 337]
1	[305, 172, 54, 314, 1, 350]	3	319	[352, 301, 302, 310, 312, 337, 319]
1	[305, 172, 54, 314, 1, 350]	3	311	[352, 301, 302, 310, 312, 337, 319, 311]
1	[305, 172, 54, 314, 1, 350]	3	336	[352, 301, 302, 310, 312, 337, 319, 311, 336]
1	[305, 172, 54, 314, 1, 350]	3	210	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305, 172, 54, 314, 1, 350]	3	341	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305, 172, 54, 314, 1, 350]	3	343	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305, 172, 54, 314, 1, 350]	3	321	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305, 172, 54, 314, 1, 350]	3	323	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305, 172, 54, 314, 1, 350]	3	300	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305, 172, 54, 314, 1, 350]	3	294	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305, 172, 54, 314, 1, 350]	3	295	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305, 172, 54, 314, 1, 350]	3	35	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305, 172, 54, 314, 1, 350]	3	297	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305, 172, 54, 314, 1, 350]	3	316	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305, 172, 54, 314, 1, 350]	3	346	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305, 172, 54, 314, 1, 350]	3	218	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
1	[305, 172, 54, 314, 1, 350]	3	223	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
1	[305, 172, 54, 314, 1, 350]	3	306	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
1	[305, 172, 54, 314, 1, 350]	3	173	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
1	[305, 172, 54, 314, 1, 350]	3	331	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
1	[305, 172, 54, 314, 1, 350, 352]	3	301	[301]
1	[305, 172, 54, 314, 1, 350, 352]	3	302	[301, 302]
1	[305, 172, 54, 314, 1, 350, 352]	3	310	[301, 302, 310]
1	[305, 172, 54, 314, 1, 350, 352]	3	312	[301, 302, 310, 312]
1	[305, 172, 54, 314, 1, 350, 352]	3	337	[301, 302, 310, 312, 337]
1	[305, 172, 54, 314, 1, 350, 352]	3	319	[301, 302, 310, 312, 337, 319]
1	[305, 172, 54, 314, 1, 350, 352]	3	311	[301, 302, 310, 312, 337, 319, 311]
1	[305, 172, 54, 314, 1, 350, 352]	3	336	[301, 302, 310, 312, 337, 319, 311, 336]
1	[305, 172, 54, 314, 1, 350, 352]	3	210	[301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305, 172, 54, 314, 1, 350, 352]	3	341	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305, 172, 54, 314, 1, 350, 352]	3	343	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305, 172, 54, 314, 1, 350, 352]	3	321	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305, 172, 54, 314, 1, 350, 352]	3	323	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305, 172, 54, 314, 1, 350, 352]	3	300	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305, 172, 54, 314, 1, 350, 352]	3	294	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305, 172, 54, 314, 1, 350, 352]	3	295	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305, 172, 54, 314, 1, 350, 352]	3	35	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
