courseid	oper	stuno	title
5	1	87	87
5	2	100	100
5	4	4973	4973
5	17	231	0
5	55	270	0
5	56	27	27
5	57	13	12
5	58	1	1
5	60	235	235
5	62	56	0
5	63	6813	0
5	64	187	0
5	65	6	6
5	66	223	0
5	67	844	844
5	68	462	462
5	69	504	504
5	70	438	438
5	71	494	494
5	74	194	0
5	75	1770	1770
5	76	1319	1319
5	77	36	36
5	78	265	265
5	79	103	103
23	1	20	20
23	2	22	22
23	4	13457	13457
23	17	92	0
23	55	84	0
23	56	30	30
23	57	5	5
23	60	104	104
23	62	97	0
23	63	27839	0
23	64	325	0
23	65	1	1
23	66	212	0
23	67	1061	1061
23	68	820	820
23	69	895	895
23	70	701	701
23	71	742	742
23	72	1	1
23	74	29	0
23	75	3049	3049
23	76	2729	2729
23	77	59	59
23	78	2631	2631
23	79	293	293
182	4	14010	14010
182	17	109	0
182	55	77	0
182	56	32	32
182	57	12	12
182	60	170	170
182	62	50	0
182	63	27423	0
182	64	207	0
182	66	144	0
182	67	907	907
182	68	751	751
182	69	785	785
182	70	663	663
182	71	693	693
182	74	16	0
182	75	2698	2698
182	76	2015	2015
182	77	71	71
182	78	2924	2924
182	79	491	491
