stuno	oper	courseid	logid
1069800109030188	4	5	1
1069800109030188	74	5	1
1069800109030188	75	5	1
1069800109030188	76	5	1
1069800109030205	1	5	84
1069800109030205	2	5	96
1069800109030205	4	182	1
1069800109030205	4	23	8
1069800109030205	4	5	129
1069800109030205	55	23	1
1069800109030205	55	5	11
1069800109030205	60	5	4
1069800109030205	66	5	2
1069800109030205	67	5	1
1069800109030205	74	182	3
1069800109030205	74	23	10
1069800109030205	74	5	108
1069800109030205	75	23	3
1069800109030205	75	5	87
1069800109030205	76	23	3
1069800109030205	76	5	59
1069800109030205	77	5	3
1069800109030205	78	23	2
1069800109030205	78	5	3
1069800109030205	79	5	2
1069800109030205	79	23	4
1069800110090019	60	5	1
1069800111030041	4	182	1
1069800111030041	4	5	3
1069800111030041	63	182	14
1069800111030041	63	23	31
1069800111030041	63	5	44
1069800111030041	67	182	2
1069800111030041	67	5	4
1069800111030041	67	23	5
1069800111030041	68	23	1
1069800111030041	69	23	1
1069800111030041	70	5	1
1069800111030041	70	182	1
1069800111030041	70	23	3
1069800111030041	71	5	1
1069800111030041	71	182	1
1069800111030041	71	23	2
1069800112030033	17	5	1
1069800112030033	63	5	1
1069800112030033	67	5	1
1069800112030102	4	5	1
1069800112030102	74	5	1
1069800112030102	75	5	2
1069800112030116	60	23	1
1069800112030116	74	5	1
1069800112090107	4	182	1
1069800112090159	4	5	3
1069800112090159	4	182	4
1069800112090159	63	5	4
1069800112090159	63	182	4
1069800113030046	63	23	2
1069800113030046	63	5	4
1069800113030046	63	182	4
1069800113030046	64	182	4
1069800113030046	66	5	2
1069800113030046	67	23	2
1069800113030046	67	182	2
1069800113030046	67	5	4
1069800113030046	68	23	2
1069800113030046	68	5	3
1069800113030046	68	182	3
1069800113030046	69	23	2
1069800113030046	69	182	2
1069800113030046	69	5	5
1069800113030046	70	5	1
1069800113030046	70	23	1
1069800113030046	70	182	2
1069800113030046	71	5	1
1069800113030046	71	23	1
1069800113030046	71	182	2
1069800113030074	4	23	1
1069800113030074	63	23	4
1069800113030074	63	182	4
1069800113030074	63	5	6
1069800113030074	64	182	1
1069800113030074	64	5	2
1069800113030074	64	23	2
1069800113030074	66	5	1
1069800113030074	67	5	2
1069800113030074	67	23	2
1069800113030074	67	182	2
1069800113030074	68	5	2
1069800113030074	68	182	3
1069800113030074	68	23	4
1069800113030074	69	5	2
1069800113030074	69	182	9
1069800113030074	69	23	14
1069800113030074	70	5	1
1069800113030074	70	23	1
1069800113030074	70	182	1
1069800113030074	71	5	1
1069800113030074	71	23	1
1069800113030074	71	182	1
1069800113030103	4	23	5
1069800113030103	4	182	8
1069800113030103	4	5	10
1069800113030103	63	23	6
1069800113030103	63	182	12
1069800113030103	63	5	14
1069800113030103	67	23	1
1069800113030103	67	182	1
1069800113030103	67	5	4
1069800113030103	68	5	1
1069800113030103	68	23	1
1069800113030103	68	182	3
1069800113030103	69	5	1
1069800113030103	69	23	1
1069800113030103	69	182	2
1069800113030103	70	5	1
1069800113030103	70	23	1
1069800113030103	70	182	1
1069800113030103	71	5	1
1069800113030103	71	23	1
1069800113030103	71	182	1
1069800113030103	75	23	19
1069800113030103	75	5	25
1069800113030103	75	182	29
1069800113030103	76	5	18
1069800113030103	76	23	23
1069800113030103	76	182	23
1069800113030103	77	23	1
1069800113030103	78	182	1569
1069800113030103	78	23	1923
1069800113030103	79	182	3
1069800113030103	79	23	22
1069800113030120	4	5	2
1069800113030120	55	5	2
