user_id	inter_seq	scene	cat	target	pred_path
1	[305]	3	4	172	[172]
1	[305]	3	4	54	[172, 54]
1	[305]	3	4	314	[172, 54, 314]
1	[305]	3	4	1	[172, 54, 314, 1]
1	[305]	3	4	350	[172, 54, 314, 1, 350]
1	[305]	3	4	352	[172, 54, 314, 1, 350, 352]
1	[305]	3	4	301	[172, 54, 314, 1, 350, 352, 301]
1	[305]	3	4	302	[172, 54, 314, 1, 350, 352, 301, 302]
1	[305]	3	4	310	[172, 54, 314, 1, 350, 352, 301, 302, 310]
1	[305]	3	4	312	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312]
1	[305]	3	4	337	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337]
1	[305]	3	4	319	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319]
1	[305]	3	4	311	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311]
1	[305]	3	4	336	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]
1	[305]	3	4	210	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305]	3	4	341	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305]	3	4	343	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305]	3	4	321	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305]	3	4	323	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305]	3	4	300	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305]	3	4	294	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305]	3	4	295	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305]	3	4	35	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305]	3	4	297	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305]	3	4	316	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305]	3	4	346	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305]	3	4	218	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
1	[305]	3	4	223	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
1	[305]	3	4	306	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
1	[305]	3	4	173	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
1	[305]	3	4	331	[172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
1	[305, 172]	3	4	54	[54]
1	[305, 172]	3	4	314	[54, 314]
1	[305, 172]	3	4	1	[54, 314, 1]
1	[305, 172]	3	4	350	[54, 314, 1, 350]
1	[305, 172]	3	4	352	[54, 314, 1, 350, 352]
1	[305, 172]	3	4	301	[54, 314, 1, 350, 352, 301]
1	[305, 172]	3	4	302	[54, 314, 1, 350, 352, 301, 302]
1	[305, 172]	3	4	310	[54, 314, 1, 350, 352, 301, 302, 310]
1	[305, 172]	3	4	312	[54, 314, 1, 350, 352, 301, 302, 310, 312]
1	[305, 172]	3	4	337	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337]
1	[305, 172]	3	4	319	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319]
1	[305, 172]	3	4	311	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311]
1	[305, 172]	3	4	336	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]
1	[305, 172]	3	4	210	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
1	[305, 172]	3	4	341	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
1	[305, 172]	3	4	343	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305, 172]	3	4	321	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305, 172]	3	4	323	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305, 172]	3	4	300	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305, 172]	3	4	294	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305, 172]	3	4	295	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305, 172]	3	4	35	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305, 172]	3	4	297	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305, 172]	3	4	316	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305, 172]	3	4	346	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305, 172]	3	4	218	[54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
