stuno	courseid	oper	title	new_oper	time	tlen
1069800109030205	5	1	Java运算符	watch	1406863244	0
1069800109030205	5	75	StringTokenizer	done	1410874261	0
1069800109030205	5	75	Java Applet	done	1410874265	0
1069800109030205	5	76	Java Applet	duration	1410874275	8
1069800109030205	5	75	Java成员方法	done	1410913417	0
1069800109030205	5	4	JAVA语言(简版)	tag	1410925379	0
1069800109030205	5	4	JAVA语言	tag	1410925409	0
1069800109030205	5	75	进程与线程	done	1410939372	0
1069800109030205	5	75	线程创建方法	done	1410939396	0
1069800109030205	5	75	Java数据类型及转换	done	1410939461	0
1069800109030205	5	76	Java数据类型及转换	duration	1410939464	3
1069800109030205	5	75	Java常量	done	1410939467	0
1069800109030205	5	76	面向对象基础	duration	1410939588	2
1069800109030205	5	75	Java类定义	done	1410939590	0
1069800109030205	5	76	Java类定义	duration	1410939836	2532
1069800109030205	5	75	Java异常基础	done	1410940425	0
1069800109030205	5	75	接口	done	1411958091	0
1069800109030205	5	1	类的基本特征	watch	1411972330	0
1069800109030205	5	1	Java常量	watch	1411982845	0
1069800109030205	5	2	Java运算符	duration	1411982914	1
1069800109030205	5	2	Java常量	duration	1411982914	7
1069800109030205	5	75	异常概念	done	1412729637	0
1069800109030205	5	76	异常概念	duration	1412729671	31
1069800109030205	5	75	自定义异常	done	1412729702	0
1069800109030205	5	76	自定义异常	duration	1412729721	17
1069800109030205	5	76	GUI基础	duration	1413165465	4294
1069800109030205	5	75	基于继承的事件处理	done	1413165472	0
1069800109030205	5	76	基于继承的事件处理	duration	1413165511	37
1069800109030205	5	76	类的基本特征	duration	1413166279	6
1069800109030205	5	75	GUI基础	done	1414051253	0
1069800109030205	5	1	一维数组	watch	1414310106	0
1069800109030205	5	1	String	watch	1415330409	0
1069800109030205	5	1	Java程序符号	watch	1415760805	0
1069800109030205	5	2	String	duration	1415761901	3
1069800109030205	5	1	Java语言背景	watch	1415780164	0
1069800109030205	5	1	Java语言特点	watch	1415780165	0
1069800109030205	5	1	Java平台	watch	1415780165	0
1069800109030205	5	2	Java平台	duration	1415780165	5
1069800109030205	5	1	Java开发环境与JDK	watch	1415780165	0
1069800109030205	5	75	对象操作	done	1420680118	0
1069800109030205	5	76	对象操作	duration	1420681894	1687
1069800109030205	5	77	Java程序符号	tag	1422085189	0
1069800109030205	5	75	布局管理	done	1422927909	0
1069800109030205	5	76	布局管理	duration	1422927911	2
1069800109030205	5	75	容器组件	done	1422927919	0
1069800109030205	5	76	容器组件	duration	1422928266	345
1069800109030205	5	75	布局管理器	done	1426647888	0
1069800109030205	5	76	布局管理器	duration	1426647894	5
1069800109030205	5	75	String	done	1427164935	0
1069800109030205	5	60	论坛	watch	1427178784	0
1069800109030205	5	79	Java语言背景	tag	1427761237	0
1069800109030205	5	75	Java程序符号	done	1428406840	0
1069800109030205	5	76	Java程序符号	duration	1428406887	45
1069800109030205	5	75	Java表达式	done	1428406905	0
1069800109030205	5	67	课程公告	watch	1428407596	0
1069800109030205	5	75	第19讲	done	1428462539	0
1069800109030205	5	76	StringTokenizer	duration	1428979893	27
1069800109030205	5	75	类的基本特征	done	1428999268	0
1069800109030205	5	76	Applet程序执行	duration	1429000618	17
1069800109030205	5	75	Applet程序执行	done	1429000624	0
1069800109030205	5	75	面向对象基础	done	1429000669	0
1069800109030205	5	76	第01讲	duration	1429001467	15
1069800109030205	5	75	流的概念	done	1429001585	0
1069800109030205	5	76	5	duration	1429001911	41
1069800109030205	5	75	一维数组	done	1429002412	0
1069800109030205	5	76	一维数组	duration	1429002421	8
1069800109030205	5	76	Java语言背景	duration	1429482192	1110
1069800109030205	5	78	多维数组	tag	1429495956	5
1069800109030205	5	76	多维数组	duration	1429496079	123
1069800109030205	5	75	多维数组	done	1429496081	0
1069800109030205	5	75	Java语言特点	done	1429522070	0
1069800109030205	5	76	Java语言特点	duration	1429522209	138
1069800109030205	5	75	Java语言背景	done	1429522215	0
1069800109030205	5	76	Java开发环境与JDK	duration	1429559369	2
1069800109030205	5	75	Java开发环境与JDK	done	1429600652	0
1069800109030205	5	4	JAVA语言(新)	tag	1429618603	0
1069800111030041	5	70	离线作业	enter	1414994882	0
1069800111030041	5	71	离线作业	done	1414994895	0
1069800111030041	5	4	JAVA语言(新)	tag	1429167921	0
1069800111030041	5	67	课程公告	watch	1429684938	0
1069800113030046	5	70	离线作业	enter	1416712540	0
1069800113030046	5	71	离线作业	done	1416712553	0
1069800113030046	5	67	课程公告	watch	1427474432	0
1069800113030074	5	70	离线作业	enter	1416551176	0
1069800113030074	5	71	离线作业	done	1416551181	0
1069800113030074	5	67	课程公告	watch	1427191439	0
1069800113030103	5	70	离线作业	enter	1414167044	0
1069800113030103	5	71	离线作业	done	1414167072	0
1069800113030103	5	76	Java语言背景	duration	1414167354	9
1069800113030103	5	75	Java语言背景	done	1414167356	0
1069800113030103	5	75	Applet程序执行	done	1415964583	0
1069800113030103	5	76	Applet程序执行	duration	1415964600	85
1069800113030103	5	76	Java开发环境与JDK	duration	1416631658	804
1069800113030103	5	75	Java开发环境与JDK	done	1416631658	0
1069800113030103	5	75	多维数组	done	1417179106	0
1069800113030103	5	76	多维数组	duration	1417179129	9160
1069800113030103	5	75	Java数据类型及转换	done	1417181605	0
1069800113030103	5	76	类的基本特征	duration	1417258966	794
1069800113030103	5	75	类的基本特征	done	1417258977	0
1069800113030103	5	75	面向对象基础	done	1418985497	0
1069800113030103	5	67	课程公告	watch	1419591117	0
1069800113030103	5	4	JAVA语言(新)	tag	1419591124	0
1069800113030103	5	75	Java语言特点	done	1419591140	0
1069800113030103	5	76	Java语言特点	duration	1419593002	1839
1069800113030103	5	75	Java平台	done	1419594813	0
1069800113030103	5	76	Java平台	duration	1419596727	996
1069800113030120	5	70	离线作业	enter	1416401988	0
1069800113030120	5	71	离线作业	done	1416402074	0
1069800113030120	5	4	JAVA语言(新)	tag	1426846527	0
1069800113030120	5	67	课程公告	watch	1426846556	0
1069800113030167	5	4	JAVA语言(新)	tag	1415533240	0
1069800113030167	5	75	Java语言背景	done	1415533253	0
1069800113030167	5	76	Java语言背景	duration	1415533253	8
1069800113030167	5	70	离线作业	enter	1415534508	0
1069800113030167	5	71	离线作业	done	1415534528	0
1069800113030167	5	67	课程公告	watch	1427458885	0
1069800113030183	5	67	课程公告	watch	1415181904	0
1069800113030183	5	70	离线作业	enter	1415182940	0
1069800113030183	5	71	离线作业	done	1415182957	0
1069800113030183	5	76	Java开发环境与JDK	duration	1415190559	399
