stuno	courseid	oper	title	new_oper	time	tlen
1069800113030103	182	75	第13讲	done	1416668571	0
1069800113030103	182	75	第07讲	done	1416669820	0
1069800113030103	182	78	第02讲	tag	1420889289	0
1069800113030103	182	76	第02讲	duration	1420889428	113
1069800113030103	182	75	第02讲	done	1420889432	0
1069800113030103	182	75	第01讲	done	1425030456	0
1069800113030103	182	78	第01讲	tag	1425032707	0
1069800113030103	182	76	第01讲	duration	1425032715	3241
1069800113030103	182	4	计算机网络原理(新)	tag	1425094865	0
1069800113030103	182	75	第06讲	done	1425095088	0
1069800113030103	182	78	第06讲	tag	1425100661	0
1069800113030103	182	76	第06讲	duration	1425100667	2507
1069800113030183	182	75	第01讲	done	1426648007	0
1069800113030183	182	76	第01讲	duration	1426650435	2426
1069800113030183	182	75	第02讲	done	1426651587	0
1069800113030183	182	76	第02讲	duration	1426654040	2450
1069800113030183	182	4	计算机网络原理(新)	tag	1426656884	0
1069800113030183	182	75	第03讲	done	1426656895	0
1069800113030183	182	76	第03讲	duration	1426659397	2494
1069800113030183	182	75	第05讲	done	1426661927	0
1069800113030183	182	76	第05讲	duration	1426664425	2494
1069800113030183	182	75	第06讲	done	1426664439	0
1069800113030183	182	76	第06讲	duration	1426666903	2462
1069800113030183	182	75	第08讲	done	1426666912	0
1069800113030183	182	76	第08讲	duration	1426669411	2494
1069800113030183	182	75	第10讲	done	1426671931	0
1069800113030183	182	76	第10讲	duration	1426674429	2494
1069800113030183	182	75	第12讲	done	1426674445	0
1069800113030183	182	76	第12讲	duration	1426676945	2494
1069800113030183	182	75	第14讲	done	1426676957	0
1069800113030183	182	76	第14讲	duration	1426679454	2494
1069800113030183	182	75	第13讲	done	1426682674	0
1069800113030183	182	76	第13讲	duration	1426686094	2494
1069800113030183	182	75	第17讲	done	1426686108	0
1069800113030183	182	76	第17讲	duration	1426688331	2221
1069800113090034	182	4	计算机网络原理(新)	tag	1428217847	0
1069800113090034	182	75	第01讲	done	1428217862	0
1069800113090034	182	78	第01讲	tag	1428218167	0
1069800113090034	182	76	第01讲	duration	1428218170	304
1069800113090034	182	75	第02讲	done	1428218249	0
1069800113090034	182	78	第02讲	tag	1428219146	0
1069800113090034	182	76	第02讲	duration	1428219150	897
1069800113090034	182	75	第03讲	done	1428219161	0
1069800113090034	182	78	第03讲	tag	1428219720	0
1069800113090034	182	76	第03讲	duration	1428219724	558
1069800113090034	182	75	第04讲	done	1428219732	0
1069800113090034	182	78	第04讲	tag	1428220618	0
1069800113090034	182	76	第04讲	duration	1428220622	885
1069800113090034	182	75	第05讲	done	1428220635	0
1069800113090034	182	78	第05讲	tag	1428222453	0
1069800113090034	182	76	第05讲	duration	1428222457	1817
1069800113090034	182	75	第06讲	done	1428222467	0
1069800113090034	182	78	第06讲	tag	1428222960	0
1069800113090034	182	76	第06讲	duration	1428222962	493
1069800113090034	182	75	第07讲	done	1428222969	0
1069800113090034	182	78	第07讲	tag	1428223412	0
1069800113090034	182	76	第07讲	duration	1428223414	442
1069800113090034	182	75	第08讲	done	1428223421	0
1069800113090034	182	78	第08讲	tag	1428223896	0
1069800113090034	182	76	第08讲	duration	1428223899	474
1069800113090034	182	75	第09讲	done	1428223913	0
1069800113090034	182	78	第09讲	tag	1428224780	0
1069800113090034	182	76	第09讲	duration	1428224782	866
1069800113090034	182	75	第12讲	done	1428224790	0
1069800113090034	182	78	第12讲	tag	1428225347	0
1069800113090034	182	76	第12讲	duration	1428225351	556
1069800113090034	182	75	第13讲	done	1428225363	0
1069800113090034	182	78	第13讲	tag	1428227224	0
1069800113090034	182	76	第13讲	duration	1428227226	1864
1069800113090034	182	75	第14讲	done	1428227238	0
1069800113090034	182	78	第14讲	tag	1428228815	0
1069800113090034	182	76	第14讲	duration	1428228816	1580
1069800113090034	182	75	第15讲	done	1428228831	0
1069800113090034	182	76	第15讲	duration	1428232078	2650
1069800113090034	182	75	第17讲	done	1428232093	0
1069800113090034	182	78	第17讲	tag	1428232532	0
1069800113090034	182	76	第17讲	duration	1428232534	439
1069800113090034	182	75	第18讲	done	1428232547	0
