stuno	courseid	oper	title	new_oper	time	tlen
1069800109030205	23	4	操作系统原理(新)	tag	1429497734	0
1069800109030205	23	75	连续分配方式	done	1429497741	0
1069800109030205	23	75	对换	done	1429497796	0
1069800109030205	23	75	三级调度的概念及算法准则	done	1429497920	0
1069800109030205	23	79	连续分配方式	tag	1429499516	412
1069800109030205	23	76	连续分配方式	duration	1429499519	1
1069800109030205	23	79	对换	tag	1429499580	404
1069800109030205	23	76	对换	duration	1429499585	22
1069800109030205	23	79	三级调度的概念及算法准则	tag	1429499694	835
1069800109030205	23	76	三级调度的概念及算法准则	duration	1429499699	9
1069800113030103	23	76	第01讲	duration	1414195205	0
1069800113030103	23	75	第01讲	done	1414195219	0
1069800113030103	23	75	第06讲	done	1414195286	0
1069800113030103	23	76	第22讲	duration	1416664905	363
1069800113030103	23	75	第22讲	done	1416664906	0
1069800113030103	23	75	第58讲	done	1416664918	0
1069800113030103	23	76	第58讲	duration	1416664920	3145
1069800113030103	23	75	第49讲	done	1416664928	0
1069800113030103	23	75	第14讲	done	1417795982	0
1069800113030103	23	76	第14讲	duration	1417796050	20
1069800113030103	23	4	操作系统原理(新)	tag	1424939080	0
1069800113030103	23	76	第06讲	duration	1424939087	22
1069800113030103	23	75	程序的装入链接	done	1424939121	0
1069800113030103	23	77	程序的装入链接	tag	1424977777	0
1069800113030103	23	76	程序的装入链接	duration	1424977784	48
1069800113090034	23	75	操作系统的目标和作用	done	1426748094	0
1069800113090034	23	78	操作系统的目标和作用	tag	1426748707	0
1069800113090034	23	76	操作系统的目标和作用	duration	1426748709	613
1069800113090034	23	75	单道和多道批处理系统	done	1426748714	0
1069800113090034	23	78	单道和多道批处理系统	tag	1426749081	0
1069800113090034	23	76	单道和多道批处理系统	duration	1426749083	366
1069800113090034	23	75	分时系统和实时系统	done	1426749114	0
1069800113090034	23	78	分时系统和实时系统	tag	1426749450	0
1069800113090034	23	76	分时系统和实时系统	duration	1426749451	335
1069800113090034	23	75	操作系统的基本特性	done	1426749456	0
1069800113090034	23	78	操作系统的基本特性	tag	1426750009	0
1069800113090034	23	76	操作系统的基本特性	duration	1426750010	552
1069800113090034	23	75	处理机和存储器管理功能	done	1426750018	0
1069800113090034	23	78	处理机和存储器管理功能	tag	1426750514	0
1069800113090034	23	76	处理机和存储器管理功能	duration	1426750517	496
1069800113090034	23	75	设备管理和文件管理功能	done	1426750523	0
1069800113090034	23	78	设备管理和文件管理功能	tag	1426750857	0
1069800113090034	23	76	设备管理和文件管理功能	duration	1426750860	334
1069800113090034	23	78	进程控制(1)	tag	1426752767	0
1069800113090034	23	75	信号量机制及应用	done	1426753554	0
1069800113090034	23	78	信号量机制及应用	tag	1426754015	0
1069800113090034	23	76	信号量机制及应用	duration	1426754019	461
1069800113090034	23	75	经典进程的同步问题	done	1426754085	0
1069800113090034	23	78	经典进程的同步问题	tag	1426754440	0
1069800113090034	23	76	经典进程的同步问题	duration	1426754446	355
1069800113090034	23	75	管程机制	done	1426754462	0
